Year,Revenue,Cost_of_Sales,Gross_Profit,Operating_Income,Net_Income
2021,365817,212981,152836,108949,94680
2022,394328,223546,170782,119437,99803
2023,383285,214137,169148,114301,96995
2024,391035,210352,180683,123216,93736
